3, match, mx, true, 7446, 160
3, dense, mx, true, 4797, 81
3, dense, cn, true, 2395, 82
3, dense, cm, true, 1446, 83
3, dense, nl, true, 1980, 84
3, dense, gt, true, 2073, 85
3, dense, mx, true, 2176, 86
3, dense, cn, true, 1375, 87
3, dense, cm, true, 2334, 88
3, dense, nl, true, 1336, 89
3, dense, gt, true, 2032, 90
3, dense, mx, true, 2629, 91
3, dense, cn, true, 2813, 92
3, dense, cm, true, 1623, 93
3, dense, nl, true, 2235, 94
3, dense, gt, false, 3811, 95
3, dense, mx, true, 1432, 96
3, dense, cn, true, 3089, 97
3, dense, cm, false, 8695, 98
3, dense, nl, true, 1282, 99
3, dense, gt, true, 1244, 100
3, dense, mx, true, 2905, 101
3, dense, cn, true, 1738, 102
3, dense, cm, false, 2394, 103
3, dense, nl, true, 2118, 104
3, dense, gt, true, 3432, 105
3, dense, mx, false, 4072, 106
3, dense, cn, true, 1316, 107
3, dense, cm, true, 3746, 108
3, dense, nl, true, 1729, 109
3, dense, gt, false, 1240, 110
3, dense, mx, false, 5625, 111
3, dense, cn, true, 3022, 112
3, dense, cm, false, 4542, 113
3, dense, nl, true, 1288, 114
3, dense, gt, true, 2001, 115
3, dense, mx, false, 8507, 116
3, dense, cn, true, 3692, 117
3, dense, cm, true, 4242, 118
3, dense, nl, true, 1317, 119
3, dense, gt, false, 2543, 120
3, dense, mx, false, 2300, 121
3, dense, cn, true, 5404, 122
3, dense, cm, true, 7650, 123
3, dense, nl, true, 1328, 124
3, dense, gt, false, 8662, 125
3, dense, mx, false, 2412, 126
3, dense, cn, true, 2236, 127
3, dense, cm, true, 3686, 128
3, dense, nl, true, 1470, 129
3, dense, gt, false, 6770, 130
5, 1-connected, cm, true, 6250, 1
5, 1-connected, nl, true, 908, 2
5, 1-connected, gt, true, 847, 3
5, 1-connected, mx, true, 5488, 4
5, 1-connected, cn, false, 883, 5
5, 1-connected, cm, true, 7355, 6
5, 1-connected, nl, true, 763, 7
5, 1-connected, gt, true, 1211, 8
5, 1-connected, mx, false, 3749, 9
5, 1-connected, cn, true, 865, 10
5, 1-connected, cm, true, 2103, 11
5, 1-connected, nl, true, 884, 12
5, 1-connected, gt, false, 702, 13
5, 1-connected, mx, true, 7610, 14
5, 1-connected, cn, true, 910, 15
5, 1-connected, cm, true, 2233, 16
5, 1-connected, nl, false, 798, 17
5, 1-connected, gt, true, 730, 18
5, 1-connected, mx, true, 6076, 19
